Id,Review,Label
14513,very basic.,1
102443,"This course has been a learning process that has strengthened myself / non- self, and I have understood the workings of my Modular mind, so now I'm taking full charge over it and with the help of mindfulness meditation, I'm already experiencing success. Thank you Prof. Robert wright and all the participating Professionals.",5
58601,very good course,5
46608,"Amazing! Full of useful info, tips, and tricks! I highly suggest this course!",5
86143,Great introduction to the topic. Great teacher. Too bad it's so short.,4
61169,Very interesting and challenging. Thank you so much Dr. White and to all the Course Management. You taught me a lot.,4
68879,"Pretty good, overall.",4
63818,"Very nice for theory of responsive design and had a lot of external links that I found very useful. I did this course with ""HTML,CSS,JS"" course from John hopkins University and it worked amazingly well with each other.",4
54722,"Amazing and free machine learning course, great thanks to Andrew Ng.",5
28154,"Good content, it explains with so much clear and simplycity! Really love the course!",5
28929,loved the pace and check in quizzes. like a classroom,5
51303,Great course covers a wide range of material. The additional readings and resources helped a lot.,5
90418,"This course makes us re-think things that we take for granted. I was shocked in the beginnig on how we ignore practices that should be the basics of any research. As the course progress, I learned new concepts what is essential to our self development.",5
1519,"very nice!It will be better if we can be offered some quiz and feedback,not only coding assignment.",5
46649,Very helpful ... I am learning so much information that I use on my every day teaching! thanks!,5
62564,"As a Marketing enthusiast I found this course very interesting and with a refreshing approach to Marketing, namely making bridges to the new digital tools and how they impact on the Marketing Management. Finally I was a septic about e-learning and this course surprise me as it is very engaging and well structured. Congrats to all of the people who develop this course.",5
71025,"Very good course, but not much of emphasis was out on downsteam and industrail products",4
79912,The teacher is engaging and gives real life examples.,5
27120,It is very concise straight to very important points which you could easily expand further by yourself.,5
25491,"The course is interesting.The peer-review assigment and grading system is the weak park of this course : you are asked to do a prototype in one week that must be reviewed ""pretty epic"" from the other students for the highest grade.",3
40819,"With the right balance of time spent on videos, good amount of scientific background supported by studies and excellent practical tips to put the theory into practice!Very clear language and simple / easy to follow structure.Learned a lot with it and highly commend it! Well done.",5
98269,"It was very interesting, informative and practice applied. I definitly will use it in my market analyses. Thank You Rajkumar Venkatesan for this course",5
40275,"Very good info, fun assignments just be sure to stay up to date week after week, the information, fresh, is a real help. Thanks alot.",4
83104,"Would be good to introduce more about Scala native solutions like Futures, parallel data structures and best ways of using them on practice, cases and best practices how to work with shared data, avoid deadlocks, how to work best when you have to process large data or when you have massive calculations.",4
903,"One of the best course offered by coursera, helps you to develop very strong basics if new,.",5
83048,"If you are interested in graphical models, you should take this course.",5
75066,"Great intro course. Started off a little slow, but found the final assignment relatively challenging. had some prior Python background and was able to finish this course in 3 weeks. moving on to the next course in the sequence.",4
64344,"Great course , It gives the idea of how we should do classification from scratch as well as understanding the concept of how to handle large dataset during training. Boosting is one of the most important technique as what I have heard in machine learning and it's great to understand the concept of it.",5
95026,Nice course! Pushing you to practice and lert you act on your own to find accurate results.I thinks that this is the best way to learn if you want to start a career in Data Science,5
94231,briefly summarised the machine learning algorithms. Good place to start!,4
76851,Excellent! Best prof ever!,5
88332,"This course is very instructive and well-paced like the others in the specialization. However the Raspberry PI ecosystem has evolved since the course materials were created. Although it's still possible to follow the videos, I think it would make it easier to update some things a little bit.",3
106296,Good survey of techniques,4
30484,"The course is well structured, but most of the features in the exercises' pages were not working properly. I tried to access them via both my computer (macbook) and mobile phone, but in some cases I could not even complete the exercise or check the answers...",3
53743,Amazing course.,5
44316,Interesting to see how the brain actually works and applying it to my academic life. Different from other self-help books which are generally biased to the author's experience,5
68760,Poorly executed. Constant differences in data. tiresome to watch two supposedly very intelligent instructors amuse themselves by saying Bro and Dude. The use og graphlab is unnecessary and adds a layer of complication which adds no future value to your toolkit. Probably a lot of better executed Machine Learning courses out there,2
69966,The course material is well planned out and the content is methodical in execution. A Beginner should have no problem grasping new words and in grammar formation as there are frequent repetitions and revisions. Kudos to the team that enabled the short skits!!,5
9549,I love this course!,5
7296,"I recommend this course to everyone. It's easy, light-hearted, and you learn a lot from it with out feeling like you're studying!",5
48225,Extremely helpful!!!,5
93134,thanks,5
83990,"Its really interactive and the lessons are awesome, you have the feeling of sitting right infront of the lecturer and experience the class learning the same thing .",5
38234,Great! ;),5
92549,"Amazing experience, lots of useful information. Going to proceed with the second course from specialization.",5
54188,"Excellent course for beginners, I enjoyed this course.",5
90661,Awesome experience.,5
55719,Excellent introductory course for Machine Learning. In a short time I not only managed to understand the important aspects of ML but also learned how to use linear algebra with Octave/Matlab. Thank you!,5
78183,such a great class. The class aim to give beginners a really nice and easy start so the students who are new to programming will not be intimated or frustrated. The professor is very funny and knowledgeable and make the whole class great fun. I really enjoyed the class and ready to finish the class and move on to the 2nd Python serie class.,5
35415,"Good course, but very introductory.",4
72455,"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role.Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience.",1
95389,Challenging course but worth the effort!,5
77385,Really great course!,5
17624,great to s,4
8133,"This is what I was looking for! I found it very thorough, easy to understand and very practical course. Very grateful to the coursera and Dr Maya Adam for this wonderful course! :)",5
104907,"I've taken several statistics, data science, and R courses. This is one of the worst. I took others' advice, and I also strongly suggest looking to other sources to learn Statistical Inference before taking this course. Khan Academy, DataCamp, Udacity, Duke (Coursera), and Columbia (edX) all have great courses. Though they vary in depth, each leaves you with a good understanding of the concepts they teach.",1
40975,This course gives me a smile.,5
60117,"I started my journey of machine learning from this course ,the course is excellent, and I've leaned a lot idea and skills from this course",5
91160,Very nice course.,5
89514,Excellent quality of videos and tasks.,5
6241,"Excellent course content, well presented enjoyed it thoroughly !!",5
65185,Amazing way to deliver a valuable information and to build things in a best practice .Thank you,5
37674,"I liked the content, the way of teaching and most importantly everything is managed.",5
56561,"Awesome course, I loved it a lot. I am expecting advanced level course from the team.",5
18890,This is fabulous.,5
17983,Excellent learning program.. Thanks,5
3948,Great Course !!!!,5
19439,A great course. A complete overview of diabetes.,5
88028,"Impressive, one learns a great deal about tasting techniques but also the basics of grape and wine variations. I just wish I had a better for detecting the aromas!",4
70915,Be warned - practice problems come from a textbook not available online or open-source. Forums do not offer much help or interaction. Material is presented clearly and lectures are well-delivered.,3
29694,"I think the course is very good, but the peer review grading should be improved! Sometime, people have to wait for more than 3 weeks to get their assignment graded, or they don't know whether they will get the grade. Thanks!",4
45698,Awesome course. Well done Barbara and Terry.,5
15076,A great introduction,5
67855,Amazing course!,5
77403,"Amazingly lucid. Instructed in such a comprehensive manner, which does not let a novice or a newcomer, wonder, as in what is happening....Thank you so very much, Dr.Chuck and Coursera !",5
83481,Perfect course for beginners....Everything is elaborated perfectly,5
28968,Such an entertaining and happy course!!! i am on week 2 but i feel so much better now and i totally like the course and the profesor is awesome... he makes us feel happy because of his happiness!! keep it up! :),5
22874,Highlight: The concept of the course itself is great and the course is well structured that makes it easy to follow. It was very basic yet had a lot of new information that will help advance in more detailed programs.Lowlights: Need more focus and details on the Cost module.,4
103680,It is a fantastic course. I loved it. It fits my interests.,4
